diversity,equity,inclusion,document_length,Doc_ID
2,31,31,3360,12276139.F
25,52,28,7608,12276196.F
4,24,38,1534,12276261.F
60,23,32,4205,12276578.F
1,16,15,3024,12276648.F
10,32,64,4250,12276993.F
37,17,37,4712,12277063.F
4,37,15,3917,12277430.F
0,27,39,3839,12277432.F
4,21,24,1831,12277704.F
11,19,16,2643,12277835.F
0,14,12,2021,12277913.F
2,45,46,4653,12278096.F
54,30,57,5674,12278355.F
1,22,18,1934,12279909.F
7,44,75,5865,12279916.F
8,34,30,5625,12280083.F
6,20,13,2164,12280085.F
0,30,53,1647,12280549.F
0,2,23,2062,12281392.F
17,26,61,11950,12281534.F
3,17,21,3262,12281607.F
4,9,48,2968,12281732.F
2,24,33,3267,12281971.F
1,18,12,2845,12282114.F
3,23,37,4527,12283148.F
6,4,23,4218,12283375.F
0,23,24,2889,12283486.F
3,17,12,4218,12283791.F
2,24,47,3476,12283997.F
1,13,6,3193,12284030.F
5,38,82,5370,12284597.F
2,4,21,2595,12285092.F
5,22,40,4106,12285397.F
0,40,22,2810,12287580.F
3,34,43,5053,12287944.F
1,14,28,3362,12288020.F
6,22,16,2856,12288088.F
33,184,144,5844,12288240.F
5,46,40,5731,12288561.F
2,7,25,1821,12289044.F
18,13,37,1259,12291297.F
4,47,55,6123,12291447.F
2,34,18,3836,12291767.F
5,93,104,2950,12291784.F
3,26,12,3710,12291992.F
2,30,14,2818,12292098.F
7,65,50,5517,12292100.F
3,27,16,4017,12292799.F
1,23,17,2965,12293197.F
2,18,27,2167,12293691.F
21,46,227,3964,12294564.F
1,21,14,2477,12294612.F
1,24,39,3037,12296903.F
8,36,33,3870,12297097.F
1,18,16,2133,12297186.F
0,26,10,2372,12297351.F
3,15,11,3046,12297949.F
9,27,53,3551,12298767.F
0,20,63,3027,12299536.F
3,22,32,2661,12299571.F
2,16,48,2499,12299732.F
0,9,5,1555,12299820.F
0,34,33,3853,12300541.F
169,71,121,9997,12300693.F
2,34,30,3786,12300792.F
3,37,13,2915,12300923.F
4,42,22,5238,12301040.F
7,24,24,2577,12301252.F
0,25,27,3786,12302622.F
28,31,56,2238,12302634.F
3,25,76,3376,12302709.F
2,12,3,1247,12302773.F
5,48,43,5124,12302985.F
9,21,65,5015,12302999.F
5,19,25,2549,12304328.F
2,31,60,2558,12314954.F
8,20,13,2082,12315348.F
31,69,153,4186,12317767.F
10,16,29,1615,12318442.F
0,32,56,2856,12319257.F
4,19,42,4619,12321044.F
3,18,16,2577,12321885.F
0,22,25,3083,12325659.F
0,33,25,3995,12326819.F
13,27,65,5956,12327526.F
8,28,62,5349,12328805.F
0,7,43,3552,12329930.F
0,32,16,2975,12330096.F
16,247,182,6153,12331771.F
8,41,47,6088,12331798.F
11,21,15,2073,12332190.F
2,26,14,3843,12334174.F
4,32,26,4901,12335319.F
4,36,67,5236,12336446.F
23,101,72,2995,12336830.F
6,15,8,2468,12338566.F
8,32,66,6076,12342275.F
3,3,22,2914,12343669.F
1,12,19,1915,12344773.F
10,40,65,5062,12344984.F
0,18,10,1660,12345087.F
25,21,53,2625,12345498.F
10,8,32,3004,12347162.F
0,13,19,4102,12348318.F
14,32,50,4433,12348334.F
1,41,14,4067,12348343.F
5,35,14,4191,12348348.F
48,20,44,4197,12348544.F
9,49,55,2543,12349329.F
